Feature	8mer coeff	7mer-m8 coeff	7mer-A1 coeff	6mer coeff	8mer min	7mer-m8 min	7mer-A1 min	6mer min	8mer max	7mer-m8 max	7mer-A1 max	6mer max
Intercept	-0.589	-0.224	-0.195	-0.079								
3P_score	-0.04	-0.055	-0.06	-0.024	1	1	1	1	3.5	3.5	3.5	3.5
Len_3UTR	0.31	0.154	0.129	0.045	2.392	2.409	2.413	2.405	3.637	3.615	3.63	3.62
Len_ORF	0.205	0.1	0.063	0.029	2.788	2.773	2.773	2.775	3.753	3.729	3.73	3.731
Local_AU	-0.254	-0.177	-0.075	-0.04	0.308	0.277	0.342	0.295	0.814	0.782	0.801	0.772
Min_dist	0.118	0.056	0.045	0.036	1.415	1.491	1.431	1.477	3.113	3.096	3.117	3.106
Off6m	-0.02	-0.011	-0.02	-0.01	0	0	0	0				
ORF8m	-0.118	-0.044	-0.058	-0.06	0	0	0	0				
PCT	-0.103	-0.048	-0.048	0.005	0	0	0	0	0.816	0.364	0.449	0.193
SA	-0.115	-0.134	-0.077	-0.028	-4.356	-5.218	-4.23	-5.082	-0.661	-0.725	-0.588	-0.666
Site8A			0	-0.002	0	0	0	0	1	1	1	1
Site8C			0.036	0.015	0	0	0	0	1	1	1	1
Site8G			0.015	0.012	0	0	0	0	1	1	1	1
SPS	0.21	0.135	0.095	0.035	-11.13	-11.13	-8.41	-8.57	-5.52	-5.49	-3.33	-3.33
sRNA1A	-0.018	0.01	-0.025	-0.002	0	0	0	0	1	1	1	1
sRNA1C	-0.021	0.014	-0.021	0.004	0	0	0	0	1	1	1	1
sRNA1G	0.06	0.062	0.03	0.018	0	0	0	0	1	1	1	1
sRNA8A	0.022	0.004	-0.049	-0.015	0	0	0	0	1	1	1	1
sRNA8C	0.012	-0.031	0.033	0.016	0	0	0	0	1	1	1	1
sRNA8G	0.015	-0.008	-0.017	0.006	0	0	0	0	1	1	1	1
TA_3UTR	0.222	0.139	0.117	0.058	3.113	3.067	3.145	3.113	3.865	3.887	3.887	3.887
